Target_Cell_Type,Rank,Cell_Name,VT,Delay_Raw,Power_Raw,Delay_Norm,Power_Norm,Avg_Norm_Score,,,,,,,,,,,,,,,,,,
INV,17,INVx2_ASAP7_75t_SL,SLVT,39.863,5.3054,0.1013,0.1513,0.1263,,,,,,,,,,,,,,,,,,
INV,18,INVx1_ASAP7_75t_L,LVT,83.644,0.3536,0.2638,0.0086,0.1362,,,,,,,,,,,,,,,,,,
INV,19,INVx3_ASAP7_75t_SL,SLVT,28.912,7.9794,0.0607,0.2283,0.1445,,,,,,,,,,,,,,,,,,
INV,20,INVx1_ASAP7_75t_SL,SLVT,73.104,2.6694,0.2247,0.0753,0.15,,,,,,,,,,,,,,,,,,
INV,21,INVx1_ASAP7_75t_R,RVT,100.506,0.1229,0.3263,0.002,0.1642,,,,,,,,,,,,,,,,,,
INV,22,INVx4_ASAP7_75t_SL,SLVT,23.493,10.6397,0.0406,0.3049,0.1727,,,,,,,,,,,,,,,,,,
INV,23,INVxp67_ASAP7_75t_SL,SLVT,106.278,1.7828,0.3477,0.0498,0.1988,,,,,,,,,,,,,,,,,,
INV,24,INVxp67_ASAP7_75t_L,LVT,121.381,0.2403,0.4038,0.0054,0.2046,,,,,,,,,,,,,,,,,,
INV,25,INVx5_ASAP7_75t_SL,SLVT,20.296,13.3157,0.0287,0.382,0.2054,,,,,,,,,,,,,,,,,,
INV,26,INVx6_ASAP7_75t_SL,SLVT,18.099,15.9816,0.0206,0.4588,0.2397,,,,,,,,,,,,,,,,,,
INV,27,INVxp67_ASAP7_75t_R,RVT,145.879,0.0878,0.4947,0.001,0.2478,,,,,,,,,,,,,,,,,,
INV,28,INVx8_ASAP7_75t_SL,SLVT,15.428,21.3082,0.0107,0.6122,0.3114,,,,,,,,,,,,,,,,,,
INV,29,INVxp33_ASAP7_75t_SL,SLVT,205.907,0.9015,0.7174,0.0244,0.3709,,,,,,,,,,,,,,,,,,
INV,30,INVxp33_ASAP7_75t_L,LVT,234.656,0.1307,0.8241,0.0022,0.4131,,,,,,,,,,,,,,,,,,
INV,31,INVx11_ASAP7_75t_SL,SLVT,13.347,29.347,0.0029,0.8437,0.4233,,,,,,,,,,,,,,,,,,
INV,32,INVx13_ASAP7_75t_SL,SLVT,12.558,34.7717,0,1,0.5,,,,,,,,,,,,,,,,,,
INV,33,INVxp33_ASAP7_75t_R,RVT,282.07,0.0535,1,0,0.5,,,,,,,,,,,,,,,,,,
O2A1O1I,1,O2A1O1Ixp5_ASAP7_75t_L,LVT,149.317,1.9963,0.1581,0.1003,0.1292,,,,,,,,,,,,,,,,,,
O2A1O1I,2,O2A1O1Ixp5_ASAP7_75t_R,RVT,188.659,1.6046,0.4089,0,0.2045,,,,,,,,,,,,,,,,,,
O2A1O1I,3,O2A1O1Ixp33_ASAP7_75t_L,LVT,221.228,2.4476,0.6166,0.2159,0.4163,,,,,,,,,,,,,,,,,,
O2A1O1I,4,O2A1O1Ixp5_ASAP7_75t_SL,SLVT,124.531,5.3887,0,0.9691,0.4845,,,,,,,,,,,,,,,,,,
O2A1O1I,5,O2A1O1Ixp33_ASAP7_75t_R,RVT,281.345,2.067,1,0.1184,0.5592,,,,,,,,,,,,,,,,,,
